name,country,overseas,role,batting_style,bowling_style,wicketkeeper,captain,active,aggressive_batter,opener,finisher,death_bowler,spinner,fast_bowler,orange_cap,purple_cap,teams,title_winner,retired
LR Shukla,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, KKR",No,Yes
DPMD Jayawardene,Sri Lanka,Yes,Batter,Right-hand,None,No,Yes,No,No,No,No,No,No,No,No,No,"DC, KTK, PBKS",No,Yes
S Sohal,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"DC_Old, PBKS",No,Yes
B Lee,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,"KKR, PBKS",No,Yes
PP Chawla,India,No,Bowler,Right-hand,Leg Spin,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,"CSK, KKR, MI, PBKS",No,No
WA Mota,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
Kamran Akmal,Pakistan,Yes,Wicketkeeper,Right-hand,None,Yes,No,No,No,No,No,No,No,No,No,No,RR,No,Yes
Shahid Afridi,Pakistan,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
DJ Bravo,West Indies,Yes,All-Rounder,Right-hand,Medium Pace,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,"CSK, GL, MI",No,No
MA Khote,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
A Nehra,India,No,Bowler,Right-hand,Fast,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, DC, MI, PW, SRH",No,Yes
GC Smith,South Africa,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"PW, RR",No,Yes
Pankaj Singh,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"RCB, RR",No,Yes
RR Sarwan,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,PBKS,No,Yes
S Sreesanth,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KTK, PBKS, RR",No,Yes
VRV Singh,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
SS Tiwary,India,No,Wicketkeeper,Right-hand,None,Yes,No,No,No,No,No,No,No,No,No,No,"DC, MI, RCB, RPS",No,Yes
DS Kulkarni,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"GL, MI, RR",No,Yes
R Vinay Kumar,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,"KKR, KTK, MI, RCB",No,Yes
AB Agarkar,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, KKR",No,Yes
M Kartik,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, PBKS, PW, RCB",No,Yes
I Sharma,India,No,Bowler,Right-hand,Medium Pace,No,No,Yes,No,No,No,No,No,Yes,No,No,"DC, DC_Old, GT, KKR, PBKS, RPS, SRH",No,No
AM Rahane,India,No,Batter,Right-hand,None,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,"CSK, DC, KKR, MI, RPS, RR",No,No
Shoaib Malik,Pakistan,Yes,All-Rounder,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC,No,Yes
MK Tiwary,India,No,Batter,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, KKR, PBKS, RPS",No,Yes
KD Karthik,India,No,Wicketkeeper,Right-hand,None,Yes,Yes,Yes,No,No,No,No,No,No,No,No,"DC, GL, KKR, MI, PBKS, RCB",No,No
R Bhatia,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, KKR, RPS, RR",No,Yes
MF Maharoof,Sri Lanka,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC,No,Yes
VY Mahesh,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, DC",No,Yes
TM Srivastava,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,PBKS,No,Yes
B Chipli,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"DC, DC_Old, RCB",No,Yes
DW Steyn,South Africa,Yes,Bowler,Left-hand,Fast,No,No,No,No,No,No,No,No,Yes,No,Yes,"DC_Old, GL, RCB, SRH",No,Yes
DB Das,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,KKR,No,Yes
MK Pandey,India,No,Batter,Right-hand,None,No,No,Yes,No,No,No,No,No,No,Yes,No,"DC, KKR, LSG, MI, PW, RCB, SRH",No,No
HH Gibbs,South Africa,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"DC_Old, MI",No,Yes
DNT Zoysa,Sri Lanka,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
D Kalyankrishna,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
SE Marsh,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,Yes,No,PBKS,No,Yes
SA Asnodkar,India,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,RR,No,Yes
Sohail Tanvir,Pakistan,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
Salman Butt,Pakistan,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,KKR,No,Yes
BJ Hodge,Australia,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, KTK, RR",No,Yes
Umar Gul,Pakistan,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,KKR,No,Yes
AB Dinda,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,"DC, KKR, PW, RCB, RPS",No,Yes
SP Fleming,New Zealand,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,CSK,No,Yes
S Vidyut,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,Yes,No,No,CSK,No,Yes
JA Morkel,South Africa,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,Yes,No,No,Yes,No,No,"CSK, DC, RCB, RPS",No,Yes
AB de Villiers,South Africa,Yes,Wicketkeeper,Right-hand,None,Yes,Yes,No,Yes,No,No,No,No,No,No,No,"DC, RCB",No,Yes
Misbah-ul-Haq,Pakistan,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,RCB,No,Yes
YV Takawale,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"MI, RCB",No,Yes
RR Raje,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
PJ Sangwan,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, GL, GT, KKR, MI",No,No
Mohammad Asif,Pakistan,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC,No,Yes
GD McGrath,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC,No,Yes
Joginder Sharma,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,CSK,No,Yes
MS Gony,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, DC_Old, GL, PBKS",No,Yes
M Muralitharan,Sri Lanka,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, KTK, RCB",No,Yes
M Ntini,South Africa,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,CSK,No,Yes
DT Patil,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,RCB,No,Yes
A Kumble,India,No,Bowler,Right-hand,Leg Spin,No,Yes,No,No,No,No,No,Yes,No,No,Yes,RCB,No,Yes
S Anirudha,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"CSK, SRH",No,Yes
MM Patel,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"GL, MI, RR",No,Yes
CK Kapugedera,Sri Lanka,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,CSK,No,Yes
A Chopra,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,KKR,No,Yes
T Taibu,Zimbabwe,Yes,Wicketkeeper,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,KKR,No,Yes
J Arunkumar,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,RCB,No,Yes
DB Ravi Teja,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"DC_Old, SRH",No,Yes
PP Ojha,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC_Old, MI",No,Yes
U Kaul,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,PBKS,No,Yes
TM Dilshan,Sri Lanka,Yes,All-Rounder,Left-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, RCB",No,Yes
A Mishra,India,No,Bowler,Right-hand,Leg Spin,No,No,Yes,No,No,No,No,Yes,No,No,Yes,"DC, DC_Old, LSG, SRH",No,No
AD Mascarenhas,England,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"PBKS, RR",No,Yes
NK Patel,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,RR,No,Yes
LA Pomersbach,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"PBKS, RCB",No,Yes
Iqbal Abdulla,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, RCB, RR",No,Yes
SR Tendulkar,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,Yes,Yes,No,MI,No,Yes
PM Sarvesh Kumar,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
DP Vijaykumar,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
Shoaib Akhtar,Pakistan,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,KKR,No,Yes
Abdur Razzak,Bangladesh,Yes,All-Rounder,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
LPC Silva,Sri Lanka,Yes,All-Rounder,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
H Das,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,DC_Old,No,Yes
SP Goswami,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"KKR, RCB, RR, SRH",No,Yes
DR Smith,West Indies,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,Yes,No,No,No,Yes,No,No,"CSK, DC_Old, GL, MI",No,Yes
SD Chitnis,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"MI, PBKS, RR",No,Yes
CRD Fernando,Sri Lanka,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
VS Yeligati,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
L Balaji,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,"CSK, KKR, PBKS",No,Yes
A Mukund,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"CSK, RCB",No,Yes
Younis Khan,Pakistan,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,RR,No,Yes
RR Powar,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KTK, PBKS",No,Yes
JP Duminy,South Africa,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, DC_Old, MI",No,Yes
A Flintoff,England,Yes,Bowler,Left-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,CSK,No,Yes
T Thushara,Sri Lanka,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,CSK,No,Yes
JD Ryder,New Zealand,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,Yes,No,No,No,Yes,No,No,"PW, RCB",No,Yes
KP Pietersen,England,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, RCB, RPS",No,Yes
T Henderson,Australia,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
Kamran Khan,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"PW, RR",No,Yes
RS Bopara,England,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,Yes,No,No,No,Yes,No,No,"PBKS, SRH",No,Yes
CH Gayle,West Indies,Yes,All-Rounder,Left-hand,Medium Pace,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,"KKR, PBKS, RCB",No,Yes
MC Henriques,Australia,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, KKR, PBKS, RCB, SRH",No,Yes
R Bishnoi,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,RCB,No,Yes
FH Edwards,West Indies,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
KV Sharma,India,No,Bowler,Right-hand,Medium Pace,No,No,Yes,No,No,No,No,No,Yes,No,No,"CSK, MI, RCB, SRH",No,No
PC Valthaty,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,Yes,No,No,No,Yes,No,No,"PBKS, RR",No,Yes
RJ Quiney,Australia,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,RR,No,Yes
AS Raut,India,No,All-Rounder,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
Yashpal Singh,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,KKR,No,Yes
M Manhas,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, DC, PW",No,Yes
AA Bilakhia,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,DC_Old,No,Yes
AN Ghosh,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,KKR,No,Yes
BAW Mendis,Sri Lanka,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, PW",No,Yes
DL Vettori,New Zealand,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, RCB",No,Yes
MN van Wyk,South Africa,Yes,Wicketkeeper,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,KKR,No,Yes
RE van der Merwe,South Africa,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, RCB",No,Yes
TL Suman,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC_Old, MI, PW",No,Yes
Shoaib Ahmed,Pakistan,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
GR Napier,England,Yes,All-Rounder,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
KP Appanna,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
LA Carseldine,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
NV Ojha,India,No,Wicketkeeper,Right-hand,None,Yes,No,No,No,No,No,No,No,No,No,No,"DC, RR, SRH",No,Yes
SM Harwood,Australia,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
M Vijay,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,Yes,No,No,"CSK, DC, PBKS",No,Yes
SB Jakati,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, GL, RCB",No,Yes
DA Warner,Australia,Yes,Batter,Left-hand,None,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,"DC, SRH",No,No
RJ Harris,Australia,Yes,Batter,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,"DC_Old, PBKS",No,Yes
D du Preez,South Africa,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
M Morkel,South Africa,Yes,Bowler,Right-hand,Fast,No,No,No,No,No,Yes,No,No,Yes,No,No,"DC, KKR, RR",No,Yes
AD Mathews,Sri Lanka,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, KKR, PW",No,Yes
J Botha,Sri Lanka,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, KKR, RR",No,Yes
C Nanda,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
SL Malinga,Sri Lanka,Yes,Bowler,Right-hand,Fast,No,No,No,No,No,No,Yes,No,Yes,No,Yes,MI,No,Yes
Mashrafe Mortaza,Bangladesh,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,KKR,No,Yes
A Singh,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,RR,No,Yes
GJ Bailey,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"CSK, PBKS, RPS",No,Yes
AB McDonald,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, RCB",No,Yes
